course_title,provider,description,tags,rating,students_enrolled,duration_weeks,cost_type,level,url,career_title,course_image_url
Agile Project Management,edX,Master Scrum and agile methodologies for project management.,"agile, scrum, Project Manager",4.7,24124,6,Premium,Intermediate,https://www.edx.org/course/agile-project-management,Project Manager,https://images.unsplash.com/photo-1552664730-d307ca884978?w=400&h=300&fit=crop
Instagram Marketing Strategy,Pluralsight,Build and execute successful Instagram marketing campaigns.,"instagram, social media, Social Media Manager",4.4,11985,5,Premium,Advanced,https://www.pluralsight.com/courses/social-media-marketing,Social Media Manager,https://images.unsplash.com/photo-1611162617474-5b21e879e113?w=400&h=300&fit=crop
Content Strategy for Social Media,Pluralsight,Develop engaging content strategies for multiple social platforms.,"content, strategy, Social Media Manager",4.0,5774,10,Premium,Advanced,https://www.pluralsight.com/courses/content-marketing-fundamentals,Social Media Manager,https://images.unsplash.com/photo-1562577309-4932fdd64cd1?w=400&h=300&fit=crop
Circuit Analysis and Design,Udemy,Master electrical circuit analysis and electronic component design.,"circuits, electronics, Electrical Engineer",4.3,38583,14,Premium,Intermediate,https://www.udemy.com/course/electronics-engineering/,Electrical Engineer,https://images.unsplash.com/photo-1581092794775-de4802d7b3e5?w=400&h=300&fit=crop
Power Systems Engineering,edX,Study electrical power generation transmission and distribution systems.,"power systems, electrical, Electrical Engineer",4.1,34843,4,Free,Intermediate,https://www.edx.org/course/electrical-engineering,Electrical Engineer,https://images.unsplash.com/photo-1509390144992-daa5d47b5a93?w=400&h=300&fit=crop
Business Analysis Fundamentals,Coursera,Learn requirements gathering and business process modeling techniques.,"requirements, analysis, Business Analyst",4.6,48572,5,Premium,Intermediate,https://www.coursera.org/specializations/business-analysis,Business Analyst,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=300&fit=crop
CBAP Certification Training,LinkedIn Learning,Prepare for Certified Business Analysis Professional certification.,"cbap, certification, Business Analyst",4.9,34572,9,Premium,Advanced,https://www.linkedin.com/learning/business-analysis-foundations,Business Analyst,https://images.unsplash.com/photo-1553484771-371a605b060b?w=400&h=300&fit=crop
UiPath RPA Developer,edX,Learn robotic process automation using UiPath platform.,"uipath, rpa, Robotics Process Automation (RPA) Developer",4.4,49328,12,Premium,Intermediate,https://www.edx.org/course/robotic-process-automation,Robotics Process Automation (RPA) Developer,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=400&h=300&fit=crop
Blue Prism Automation,Udemy,Master Blue Prism for enterprise robotic process automation.,"blue prism, automation, Robotics Process Automation (RPA) Developer",4.7,43272,10,Premium,Advanced,https://www.udemy.com/course/blue-prism-training/,Robotics Process Automation (RPA) Developer,https://images.unsplash.com/photo-1518358958346-65e63e5ac17a?w=400&h=300&fit=crop
Game Design Fundamentals,LinkedIn Learning,Learn core game design principles and mechanics.,"game design, mechanics, Game Designer",4.1,47698,11,Premium,Advanced,https://www.linkedin.com/learning/game-design-foundations,Game Designer,https://images.unsplash.com/photo-1556438064-2d7646166914?w=400&h=300&fit=crop
Level Design Masterclass,edX,Create engaging game levels and environments.,"level design, gaming, Game Designer",4.2,9990,8,Premium,Advanced,https://www.edx.org/course/game-design,Game Designer,https://images.unsplash.com/photo-1511512578047-dfb367046420?w=400&h=300&fit=crop
Tableau Desktop Specialist,edX,Master data visualization using Tableau for business intelligence.,"tableau, visualization, Data Visualization Specialist",5.0,14737,13,Free,Intermediate,https://www.edx.org/course/data-visualization-tableau,Data Visualization Specialist,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=400&h=300&fit=crop
Power BI for Data Visualization,Udemy,Create interactive dashboards and reports using Microsoft Power BI.,"power bi, dashboards, Data Visualization Specialist",4.3,7167,11,Premium,Intermediate,https://www.udemy.com/course/microsoft-power-bi/,Data Visualization Specialist,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=400&h=300&fit=crop
Network Security Fundamentals,LinkedIn Learning,Learn to secure network infrastructure and prevent cyber attacks.,"network security, firewall, Network Security Engineer",4.4,18239,14,Free,Beginner,https://www.linkedin.com/learning/network-security-fundamentals,Network Security Engineer,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?w=400&h=300&fit=crop
Firewall Configuration and Management,Pluralsight,Configure and manage enterprise firewall solutions.,"firewall, security, Network Security Engineer",4.5,49600,7,Free,Advanced,https://www.pluralsight.com/courses/firewall-fundamentals,Network Security Engineer,https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=400&h=300&fit=crop
Systems Analysis and Design,edX,Learn to analyze and design information systems for organizations.,"systems design, analysis, Systems Analyst",4.3,34223,15,Premium,Beginner,https://www.edx.org/course/systems-analysis,Systems Analyst,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=300&fit=crop
Business Systems Analysis,Pluralsight,Analyze business processes and design technical solutions.,"business systems, it, Systems Analyst",4.8,43601,14,Premium,Intermediate,https://www.pluralsight.com/courses/business-systems-analysis,Systems Analyst,https://images.unsplash.com/photo-1553484771-371a605b060b?w=400&h=300&fit=crop
Content Marketing Strategy,Pluralsight,Develop and execute effective content marketing strategies.,"content marketing, seo, Content Strategist",4.2,19167,12,Free,Beginner,https://www.pluralsight.com/courses/content-strategy,Content Strategist,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=400&h=300&fit=crop
SEO Content Writing,edX,Create search-optimized content that drives organic traffic.,"seo, writing, Content Strategist",4.9,4831,5,Free,Beginner,https://www.edx.org/course/content-strategy,Content Strategist,https://images.unsplash.com/photo-1486312338219-ce68e2c6b696?w=400&h=300&fit=crop
Microcopy and UX Writing,Pluralsight,Write effective user interface copy and microcopy.,"ux writing, microcopy, UX Writer",4.8,6623,12,Premium,Advanced,https://www.pluralsight.com/courses/ux-writing,UX Writer,https://images.unsplash.com/photo-1581287053822-fd7bf4f4bfec?w=400&h=300&fit=crop
Writing for User Interfaces,LinkedIn Learning,Master the art of writing clear and helpful UI text.,"ui text, writing, UX Writer",4.6,27401,8,Premium,Beginner,https://www.linkedin.com/learning/ux-writing-fundamentals,UX Writer,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=400&h=300&fit=crop
Foot and Ankle Surgery,Coursera,Advanced techniques in podiatric surgery and treatment.,"podiatry, surgery, Podiatrist",4.9,34479,9,Free,Advanced,https://www.coursera.org/learn/foot-ankle-biomechanics,Podiatrist,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Diabetic Foot Care Management,edX,Specialized care for diabetic foot conditions and complications.,"diabetes, foot care, Podiatrist",4.2,48403,12,Premium,Intermediate,https://www.edx.org/course/podiatric-medicine,Podiatrist,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Geographic Information Systems,Udemy,Master GIS software for urban planning and spatial analysis.,"gis, mapping, Urban Planner",4.4,39824,15,Free,Beginner,https://www.udemy.com/course/gis-training/,Urban Planner,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=400&h=300&fit=crop
Sustainable Urban Development,Coursera,Plan sustainable and resilient urban environments.,"sustainability, cities, Urban Planner",4.8,41631,4,Premium,Advanced,https://www.coursera.org/learn/designing-cities,Urban Planner,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=400&h=300&fit=crop
Clinical Nutrition Fundamentals,LinkedIn Learning,Learn medical nutrition therapy and dietary assessment.,"nutrition, clinical, Dietetic Technician",4.6,15750,12,Premium,Intermediate,https://www.linkedin.com/learning/nutrition-science,Dietetic Technician,https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=400&h=300&fit=crop
Therapeutic Diet Planning,Pluralsight,Design therapeutic diets for various medical conditions.,"diet therapy, nutrition, Dietetic Technician",4.7,22509,11,Premium,Beginner,https://www.pluralsight.com/courses/nutrition-fundamentals,Dietetic Technician,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
DNA Analysis and Forensics,edX,Apply DNA analysis techniques in forensic investigations.,"dna, forensics, Forensic Scientist",4.5,7060,8,Premium,Intermediate,https://www.edx.org/course/introduction-forensic-science,Forensic Scientist,https://images.unsplash.com/photo-1559757175-0eb30cd8c063?w=400&h=300&fit=crop
Crime Scene Investigation,LinkedIn Learning,Master evidence collection and crime scene processing techniques.,"csi, evidence, Forensic Scientist",5.0,32801,14,Free,Intermediate,https://www.linkedin.com/learning/forensic-science-basics,Forensic Scientist,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Spinal Adjustment Techniques,LinkedIn Learning,Learn chiropractic adjustment methods for spinal health.,"chiropractic, spine, Chiropractor",4.3,28851,8,Free,Beginner,https://www.linkedin.com/learning/anatomy-musculoskeletal,Chiropractor,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Musculoskeletal Assessment,Coursera,Comprehensive musculoskeletal examination and diagnosis techniques.,"musculoskeletal, assessment, Chiropractor",4.5,4334,8,Premium,Beginner,https://www.coursera.org/learn/musculoskeletal-system,Chiropractor,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Copywriting for Conversions,Udemy,Write persuasive copy that drives sales and conversions.,"copywriting, sales, Copywriter",4.4,42923,7,Premium,Beginner,https://www.udemy.com/course/copywriting-course/,Copywriter,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=400&h=300&fit=crop
Email Marketing Copywriting,LinkedIn Learning,Craft compelling email campaigns that generate results.,"email, marketing copy, Copywriter",4.6,6584,13,Premium,Advanced,https://www.linkedin.com/learning/copywriting-fundamentals,Copywriter,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=400&h=300&fit=crop
Vision Science and Optics,Coursera,Comprehensive study of vision science and optical principles.,"vision, optics, Optometrist",4.1,34340,4,Premium,Intermediate,https://www.coursera.org/learn/clinical-eye-care,Optometrist,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Contact Lens Fitting,Coursera,Advanced contact lens fitting and management techniques.,"contact lenses, eye care, Optometrist",4.2,33835,5,Premium,Advanced,https://www.coursera.org/learn/vision-care,Optometrist,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Product Design with CAD,Coursera,Use CAD software for industrial product design and development.,"cad, product design, Industrial Designer",4.1,6096,15,Premium,Intermediate,https://www.coursera.org/learn/product-design,Industrial Designer,https://images.unsplash.com/photo-1581092334651-ddf26d9a09d0?w=400&h=300&fit=crop
Design for Manufacturing,Pluralsight,Design products optimized for manufacturing processes.,"manufacturing, design, Industrial Designer",4.6,8685,10,Free,Advanced,https://www.pluralsight.com/courses/industrial-design,Industrial Designer,https://images.unsplash.com/photo-1581092794775-de4802d7b3e5?w=400&h=300&fit=crop
Media Relations and PR Strategy,Udemy,Build effective media relationships and PR campaigns.,"pr, media relations, Public Relations Specialist",4.8,49382,8,Free,Beginner,https://www.udemy.com/course/public-relations/,Public Relations Specialist,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=400&h=300&fit=crop
Crisis Communication Management,edX,Handle organizational crisis communication effectively.,"crisis management, pr, Public Relations Specialist",4.7,2160,4,Free,Advanced,https://www.edx.org/course/public-relations,Public Relations Specialist,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=400&h=300&fit=crop
Pediatric Occupational Therapy,edX,Specialized OT techniques for pediatric populations.,"pediatrics, therapy, Occupational Therapist",4.5,11982,14,Premium,Advanced,https://www.edx.org/course/occupational-therapy,Occupational Therapist,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Sensory Integration Therapy,Udemy,Implement sensory integration techniques in OT practice.,"sensory, therapy, Occupational Therapist",4.0,19099,12,Free,Advanced,https://www.udemy.com/course/occupational-therapy-assistant/,Occupational Therapist,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Computational Linguistics,LinkedIn Learning,Apply computational methods to linguistic analysis.,"nlp, linguistics, Linguist",4.3,2468,7,Premium,Beginner,https://www.linkedin.com/learning/natural-language-processing,Linguist,https://images.unsplash.com/photo-1486312338219-ce68e2c6b696?w=400&h=300&fit=crop
Language Documentation Methods,Coursera,Document and preserve endangered languages systematically.,"language, documentation, Linguist",4.8,37032,6,Free,Beginner,https://www.coursera.org/learn/computational-linguistics,Linguist,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
Character Animation with Maya,Udemy,Create professional character animations using Autodesk Maya.,"maya, 3d animation, Animator",4.4,15876,7,Premium,Advanced,https://www.udemy.com/course/maya-animation/,Animator,https://images.unsplash.com/photo-1596548438137-d51ea5c83ca4?w=400&h=300&fit=crop
2D Animation with After Effects,Udemy,Master 2D animation and motion graphics in After Effects.,"after effects, animation, Animator",4.4,27720,9,Free,Intermediate,https://www.udemy.com/course/after-effects-cc/,Animator,https://images.unsplash.com/photo-1633356122544-f134324a6cee?w=400&h=300&fit=crop
Clinical Medical Assisting,edX,Learn clinical procedures and patient care techniques.,"clinical, medical, Medical Assistant",4.6,39160,9,Premium,Advanced,https://www.edx.org/course/medical-assistant-training,Medical Assistant,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Electronic Health Records,edX,Master EHR systems and medical documentation.,"ehr, medical records, Medical Assistant",4.6,36690,15,Premium,Intermediate,https://www.edx.org/course/electronic-health-records,Medical Assistant,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Museum Studies and Curation,edX,Learn museum management and exhibition curation principles.,"museum, curation, Curator",4.3,6129,4,Premium,Intermediate,https://www.edx.org/course/museum-studies,Curator,https://images.unsplash.com/photo-1554774853-719586f82d77?w=400&h=300&fit=crop
Digital Collections Management,Udemy,Manage and preserve digital museum collections.,"digital archives, museums, Curator",4.7,20994,13,Free,Advanced,https://www.udemy.com/course/museum-curation/,Curator,https://images.unsplash.com/photo-1582555172866-f73bb12a2ab3?w=400&h=300&fit=crop
Medical Device Design,edX,Design and develop medical devices and equipment.,"medical devices, engineering, Biomedical Engineer",4.5,13436,11,Premium,Intermediate,https://www.edx.org/course/biomedical-engineering,Biomedical Engineer,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Biomaterials and Tissue Engineering,LinkedIn Learning,Study biomaterials for medical implants and tissue engineering.,"biomaterials, tissue, Biomedical Engineer",4.1,15689,15,Premium,Beginner,https://www.linkedin.com/learning/biomedical-engineering-basics,Biomedical Engineer,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Wildlife Conservation Methods,Udemy,Learn wildlife management and conservation techniques.,"conservation, wildlife, Forest Ranger",4.1,18603,5,Premium,Beginner,https://www.udemy.com/course/wildlife-conservation/,Forest Ranger,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=400&h=300&fit=crop
Forest Fire Management,Coursera,Master forest fire prevention and suppression strategies.,"fire management, forestry, Forest Ranger",4.1,34709,15,Premium,Advanced,https://www.coursera.org/learn/forest-management,Forest Ranger,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400&h=300&fit=crop
Quantitative Finance with Python,Udemy,Apply Python programming to quantitative finance and risk modeling.,"quant finance, python, Financial Quantitative Analyst",4.3,24751,6,Premium,Intermediate,https://www.udemy.com/course/python-for-finance/,Financial Quantitative Analyst,https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3?w=400&h=300&fit=crop
Derivatives and Risk Management,LinkedIn Learning,Master financial derivatives pricing and risk management strategies.,"derivatives, risk, Financial Quantitative Analyst",4.8,47588,8,Premium,Intermediate,https://www.linkedin.com/learning/financial-derivatives,Financial Quantitative Analyst,https://images.unsplash.com/photo-1554224155-6726b3ff858f?w=400&h=300&fit=crop
Marine Ecology and Conservation,Coursera,Study marine ecosystems and conservation strategies.,"marine ecology, ocean, Marine Biologist",4.7,29602,10,Premium,Beginner,https://www.coursera.org/learn/marine-biology,Marine Biologist,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=400&h=300&fit=crop
Coral Reef Ecology,Udemy,Specialized study of coral reef ecosystems and research methods.,"coral reefs, marine, Marine Biologist",4.4,1905,12,Premium,Advanced,https://www.udemy.com/course/marine-biology-course/,Marine Biologist,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=400&h=300&fit=crop
Travel Planning and Booking Systems,LinkedIn Learning,Master GDS systems and travel planning technologies.,"gds, travel booking, Travel Agent",4.2,39646,14,Free,Intermediate,https://www.linkedin.com/learning/travel-tourism-management,Travel Agent,https://images.unsplash.com/photo-1488646953014-85cb44e25828?w=400&h=300&fit=crop
Sustainable Tourism Development,edX,Plan and promote sustainable tourism practices.,"sustainable tourism, travel, Travel Agent",4.9,30168,12,Premium,Intermediate,https://www.edx.org/course/sustainable-tourism,Travel Agent,https://images.unsplash.com/photo-1469474968028-56623f02e42e?w=400&h=300&fit=crop
Pharmaceutical Sciences,LinkedIn Learning,Comprehensive pharmaceutical knowledge and drug therapy.,"pharmacy, drugs, Pharmacist",4.7,15163,13,Premium,Beginner,https://www.linkedin.com/learning/pharmaceutical-sciences,Pharmacist,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Clinical Pharmacy Practice,Udemy,Advanced clinical pharmacy and patient counseling skills.,"clinical pharmacy, patient care, Pharmacist",4.8,36823,4,Free,Intermediate,https://www.udemy.com/course/pharmacy-technician/,Pharmacist,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Consumer Behavior Analysis,Udemy,Analyze consumer behavior patterns and market trends.,"consumer research, analytics, Market Research Analyst",4.9,43959,11,Free,Beginner,https://www.udemy.com/course/market-research/,Market Research Analyst,https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=400&h=300&fit=crop
Survey Design and Analysis,Pluralsight,Design and analyze market research surveys effectively.,"surveys, research, Market Research Analyst",4.6,14343,14,Free,Advanced,https://www.pluralsight.com/courses/market-research-fundamentals,Market Research Analyst,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=400&h=300&fit=crop
School Psychology and Counseling,Pluralsight,Provide psychological support and counseling in educational settings.,"counseling, education, School Counselor",4.6,3811,7,Premium,Advanced,https://www.pluralsight.com/courses/educational-psychology,School Counselor,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
Career Guidance and Assessment,edX,Help students with career planning and assessment.,"career counseling, education, School Counselor",4.4,34108,11,Premium,Advanced,https://www.edx.org/course/school-counseling,School Counselor,https://images.unsplash.com/photo-1521737711867-e3b97375f902?w=400&h=300&fit=crop
Hydroponic Farming Systems,edX,Design and manage hydroponic urban farming systems.,"hydroponics, agriculture, Urban Farmer",4.4,9942,11,Premium,Beginner,https://www.edx.org/course/urban-agriculture,Urban Farmer,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400&h=300&fit=crop
Vertical Farming Technology,LinkedIn Learning,Implement vertical farming solutions for urban environments.,"vertical farming, urban agriculture, Urban Farmer",4.7,1404,13,Free,Advanced,https://www.linkedin.com/learning/sustainable-agriculture,Urban Farmer,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=400&h=300&fit=crop
Wedding and Event Planning,LinkedIn Learning,Plan and coordinate successful weddings and special events.,"wedding planning, events, Event Planner",4.5,39324,5,Premium,Advanced,https://www.linkedin.com/learning/event-planning-foundations,Event Planner,https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&h=300&fit=crop
Corporate Event Management,Udemy,Organize professional corporate events and conferences.,"corporate events, planning, Event Planner",4.6,31905,12,Free,Advanced,https://www.udemy.com/course/event-management/,Event Planner,https://images.unsplash.com/photo-1511578314322-379afb476865?w=400&h=300&fit=crop
Residential Design with AutoCAD,Coursera,Design residential interiors using AutoCAD and 3D visualization.,"autocad, residential design, Interior Designer",4.2,4270,4,Free,Beginner,https://www.coursera.org/learn/interior-design,Interior Designer,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=300&fit=crop
Commercial Interior Design,Coursera,Create functional commercial interior spaces.,"commercial design, interiors, Interior Designer",4.8,18616,14,Premium,Beginner,https://www.coursera.org/specializations/interior-design,Interior Designer,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=400&h=300&fit=crop
Adobe Creative Suite Mastery,edX,Master Adobe Photoshop Illustrator and InDesign for graphic design.,"adobe, photoshop, Graphic Designer",4.7,45378,15,Premium,Beginner,https://www.edx.org/course/graphic-design,Graphic Designer,https://images.unsplash.com/photo-1561070791-2526d30994b5?w=400&h=300&fit=crop
Brand Identity Design,Pluralsight,Create compelling brand identities and visual systems.,"branding, logo design, Graphic Designer",4.3,38926,9,Free,Beginner,https://www.pluralsight.com/courses/graphic-design-fundamentals,Graphic Designer,https://images.unsplash.com/photo-1626785774573-4b799315345d?w=400&h=300&fit=crop